"plot","ratio","type","file","fileID","set85id","graphtype","kit","nickname","participantUnique","appStartTime","plotStartTime","plotEndTime","plot3dClicks","whichIsSmaller","byHowMuch","graphCorrecter","Height","response","subject","ratioLabel"
"3dPrint",2,1,"data/pilot/Set85/id-05/Type3-Rep01",10,5,"Type3",15,"57784e0faad4b99594afa21e308fde6c","1291514",1681325704.63366,1681325843.00725,1681325850.19845,0,"Triangle (▲)",32,"",0.383118684955729,2.68635899506747,"57784e0faad4b99594afa21e308fde6c1291514",38.3
"3dDigital",4,2,"data/pilot/Set85/id-02/Type1-Rep01",3,2,"Type1",15,"57784e0faad4b99594afa21e308fde6c","1291514",1681325704.63366,1681325850.28918,1681325855.39917,0,"Triangle (▲)",50,NA,0.56234132519035,2.66882997371014,"57784e0faad4b99594afa21e308fde6c1291514",56.2
"2dDigital",5,1,"data/pilot/Set85/id-03/Type3-Rep01",6,3,"Type3",15,"57784e0faad4b99594afa21e308fde6c","1291514",1681325704.63366,1681325855.44578,1681325861.26481,0,"Triangle (▲)",50,NA,0.681292069057963,4.19015708395979,"57784e0faad4b99594afa21e308fde6c1291514",68.1
"2dDigital",4,1,"data/pilot/Set85/id-02/Type3-Rep01",4,2,"Type3",15,"57784e0faad4b99594afa21e308fde6c","1291514",1681325704.63366,1681325861.35206,1681325865.28294,0,"Triangle (▲)",50,NA,0.56234132519035,2.66882997371014,"57784e0faad4b99594afa21e308fde6c1291514",56.2
"2dDigital",2,1,"data/pilot/Set85/id-05/Type3-Rep01",10,5,"Type3",15,"57784e0faad4b99594afa21e308fde6c","1291514",1681325704.63366,1681325865.37039,1681325873.46551,0,"Triangle (▲)",36.2,NA,0.383118684955729,1.16148044353982,"57784e0faad4b99594afa21e308fde6c1291514",38.3
"3dPrint",6,1,"data/pilot/Set85/id-06/Type3-Rep01",12,6,"Type3",15,"57784e0faad4b99594afa21e308fde6c","1291514",1681325704.63366,1681325882.90346,1681325891.83544,0,"Triangle (▲)",31.7,"",0.261015721568254,2.51687945664316,"57784e0faad4b99594afa21e308fde6c1291514",26.1
"3dDigital",3,2,"data/pilot/Set85/id-09/Type1-Rep01",13,9,"Type1",8,"a583153bc6c12b94f6e5c4c3e26bcba5","811811",1681326716.82129,1681326716.89481,1681326740.62574,2,"Triangle (▲)",86.3,NA,0.825404185268019,1.95775917030154,"a583153bc6c12b94f6e5c4c3e26bcba5811811",82.5
"3dDigital",6,1,"data/pilot/Set85/id-06/Type3-Rep01",12,6,"Type3",8,"a583153bc6c12b94f6e5c4c3e26bcba5","811811",1681326716.82129,1681326740.69721,1681326763.99206,6,"Triangle (▲)",19.2,NA,0.261015721568254,2.81282105652137,"a583153bc6c12b94f6e5c4c3e26bcba5811811",26.1
"3dPrint",6,2,"data/pilot/Set85/id-06/Type1-Rep01",11,6,"Type1",8,"a583153bc6c12b94f6e5c4c3e26bcba5","811811",1681326716.82129,1681326781.21254,1681326797.4186,0,"Triangle (▲)",21.8,"",0.261015721568254,2.14618993881756,"a583153bc6c12b94f6e5c4c3e26bcba5811811",26.1
"2dDigital",7,2,"data/pilot/Set85/id-01/Type1-Rep01",1,1,"Type1",8,"a583153bc6c12b94f6e5c4c3e26bcba5","811811",1681326716.82129,1681326797.51414,1681326824.47078,0,"Triangle (▲)",13.9,NA,0.177827941003892,2.00280839227122,"a583153bc6c12b94f6e5c4c3e26bcba5811811",17.8
